Id,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"60250","2019-09-16 01:20:59","4","152","<visualization><linux>","2",""
"60251","2019-09-16 01:42:20","1","39","<machine-learning><svm><math>","1",""
"60256","2019-09-16 05:42:00","0","46","<bigdata><pyspark>","0",""
"60257","2019-09-16 06:06:11","1","27","<keras><tensorflow><pytorch><object-detection>","0","1"
"60258","2019-09-16 06:52:32","0","119","<deep-learning><nlp><natural-language-process><machine-translation><transformer>","1",""
"60260","2019-09-16 08:43:53","1","151","<linear-regression><loss-function>","1","0"
"60261","2019-09-16 08:50:27","2","333","<nlp><lstm><nlg>","2","1"
"60262","2019-09-16 08:56:51","0","34","<data-science-model>","1",""
"60264","2019-09-16 09:03:19","1","172","<feature-extraction>","1",""
"60266","2019-09-16 09:28:08","2","46","<natural-language-process>","2",""
"60267","2019-09-16 09:38:42","1","75","<machine-learning><python><data><preprocessing><pyspark>","1",""
"60268","2019-09-16 10:26:18","2","3059","<python><pandas><json>","1",""
"60272","2019-09-16 11:55:52","0","44","<python><time-series><lstm><forecasting>","0",""
"60273","2019-09-16 12:08:38","1","10","<machine-learning><time-series>","2",""
"60279","2019-09-16 14:16:42","1","223","<neural-network><reinforcement-learning><cost-function><policy-gradients>","1",""
"60280","2019-09-16 14:18:45","0","13","<unsupervised-learning><labels><image>","0",""
"60281","2019-09-16 14:40:06","1","233","<machine-learning><tfidf><hashingvectorizer><naive-bayes-algorithim>","2",""
"60283","2019-09-16 16:09:32","1","19","<machine-learning>","0",""
"60284","2019-09-16 16:17:24","0","530","<tensorflow>","1",""
"60285","2019-09-16 16:42:06","0","27","<machine-learning><classification><dataset><predictive-modeling><data-cleaning>","0",""
"60286","2019-09-16 17:34:38","0","22","<scikit-learn><topic-model><matrix-factorisation>","0",""
"60287","2019-09-16 17:45:47","1","210","<classification><preprocessing><probability><model-selection><feature-scaling>","1","0"
"60290","2019-09-16 19:44:02","2","113","<classification><nlp><word-embeddings><sentiment-analysis>","2",""
"60295","2019-09-17 00:58:43","1","9","<deep-learning><cloud-computing>","0",""
"60296","2019-09-17 01:38:20","0","53","<neural-network>","2",""
"60298","2019-09-17 05:56:47","2","429","<machine-learning><neural-network><classification><regression><linear-regression>","2","0"
"60302","2019-09-17 07:55:29","0","254","<tensorflow><gan><generative-models>","1",""
"60303","2019-09-17 08:36:45","1","50","<reinforcement-learning><q-learning><dqn><monte-carlo><discounted-reward>","1",""
"60305","2019-09-17 08:40:44","1","21","<metric><reference-request><books>","1",""
"60306","2019-09-17 09:18:20","2","297","<machine-learning><r><time-series><data-mining><logistic-regression>","3",""
"60309","2019-09-17 09:53:02","1","23","<python><regression><lstm>","1",""
"60313","2019-09-17 10:58:45","0","34","<deep-learning><keras><r><lstm><rstudio>","1",""
"60315","2019-09-17 11:02:26","0","41","<machine-learning>","1",""
"60317","2019-09-17 11:34:19","1","27","<machine-learning><classification><scikit-learn>","1","1"
"60318","2019-09-17 11:42:31","2","68","<classification><random-forest><machine-learning-model><supervised-learning>","2",""
"60323","2019-09-17 13:01:32","0","410","<scikit-learn><multiclass-classification><accuracy>","1",""
"60325","2019-09-17 14:15:54","1","265","<tensorflow><decision-trees><pytorch><numpy><parallel>","0",""
"60326","2019-09-17 14:20:25","0","66","<machine-learning><neural-network>","1",""
"60327","2019-09-17 14:41:50","0","15","<data-science-model>","0",""
"60330","2019-09-17 15:21:09","0","48","<anomaly-detection><dbscan><data-leakage>","2",""
"60333","2019-09-17 16:01:26","0","14","<nlp><word-embeddings>","0",""
"60334","2019-09-17 16:12:03","0","12","<neural-network><deep-learning>","0",""
"60336","2019-09-17 16:26:05","0","26","<logistic-regression>","1",""
"60340","2019-09-17 17:18:30","0","27","<visualization>","1","1"
"60342","2019-09-17 17:41:08","3","55","<python><pandas><numpy>","1",""
"60344","2019-09-17 17:53:33","3","376","<classification><multiclass-classification><confusion-matrix>","2",""
"60347","2019-09-17 18:41:01","1","22","<audio-recognition>","1",""
"60349","2019-09-17 19:53:00","0","20","<machine-learning><optimization>","0",""
"60350","2019-09-17 21:48:38","0","184","<python><neural-network><deep-learning><gradient-descent><numpy>","2",""
"51064","2019-04-28 14:34:14","0","80","<keras><tensorflow><linear-regression><neural>","0",""
"51065","2019-04-28 14:43:17","29","17478","<nlp><encoding><attention-mechanism><transformer>","3","12"
"51069","2019-04-28 15:27:23","0","219","<reinforcement-learning><pytorch><dqn><openai-gym>","1",""
"51079","2019-04-28 19:28:10","2","126","<machine-learning><deep-learning><multiclass-classification>","1","1"
"64542","2019-12-10 10:12:05","0","31","<nlp><text-mining><data-science-model><social-network-analysis>","2",""
"64543","2019-12-10 10:38:44","1","26","<neural-network><mse>","1",""
"64547","2019-12-10 11:46:46","0","78","<machine-learning><python><gradient-descent><mathematics>","0",""
"64548","2019-12-10 12:03:07","0","83","<python><deep-learning>","1",""
"64551","2019-12-10 12:49:25","1","17","<r><time-series><forecasting>","0",""
"64552","2019-12-10 12:50:07","0","81","<machine-learning><cnn><image-classification><neural>","1",""
"64553","2019-12-10 12:52:58","0","11","<machine-learning><loss-function>","0",""
"64554","2019-12-10 12:55:19","0","9","<cnn>","0",""
"64555","2019-12-10 13:00:02","0","25","<machine-learning><deep-learning><data-mining><data-science-model>","0",""
"64558","2019-12-10 13:22:39","0","121","<python><neural-network><deep-learning><regression><pytorch>","0",""
"64559","2019-12-10 13:25:13","0","51","<machine-learning><classification><class-imbalance>","0",""
"64560","2019-12-10 13:25:27","0","279","<nlp><natural-language-process><bert><language-model>","0",""
"64563","2019-12-10 14:13:06","0","38","<nlp><allennlp>","0",""
"64564","2019-12-10 14:26:40","0","171","<machine-learning><cnn><image-classification>","2",""
"64568","2019-12-10 15:29:25","0","34","<image-classification><sagemaker>","0",""
"64570","2019-12-10 15:46:39","0","303","<python><scikit-learn><k-nn><math>","1",""
"44930","2019-02-01 17:12:31","1","17","<text-generation><state-of-the-art>","0",""
"44933","2019-02-01 18:34:56","2","200","<deep-learning><cnn><convnet>","1",""
"44936","2019-02-01 18:49:09","1","1675","<neural-network><keras><multilabel-classification>","1",""
"44938","2019-02-01 19:09:41","1","16","<machine-learning><python><scikit-learn><predictive-modeling><sql>","0",""
"44940","2019-02-01 20:29:22","1","93","<python><pandas>","1",""
"44941","2019-02-01 20:39:46","2","333","<python><scikit-learn><random-forest><apache-spark><pyspark>","0",""
"44944","2019-02-01 21:54:18","1","75","<machine-learning><algorithms><boosting>","2",""
"44947","2019-02-01 23:10:17","2","55","<predictive-modeling><machine-learning-model>","2",""
"44948","2019-02-01 23:21:38","1","100","<linear-regression><gradient-descent>","1","1"
"44949","2019-02-02 00:03:59","1","34","<terminology>","1",""
"44950","2019-02-02 03:23:13","1","430","<machine-learning><scikit-learn><cross-validation>","0","1"
"44952","2019-02-02 03:56:58","1","68","<neural-network><ann>","0","1"
"44953","2019-02-02 05:42:13","1","74","<machine-learning><linear-algebra>","0",""
"44961","2019-02-02 08:36:54","0","22","<machine-learning><time-series><rnn><forecast><forecasting>","1",""
"44966","2019-02-02 11:53:50","1","120","<neural-network><keras><time-series><recurrent-neural-net><sequence-to-sequence>","0",""
"44967","2019-02-02 13:26:24","1","24","<feature-selection>","0",""
"44969","2019-02-02 17:20:12","0","95","<python><keras><tensorflow>","1",""
"44971","2019-02-02 19:00:35","1","492","<gpu><epochs>","1",""
"44973","2019-02-02 19:34:25","1","95","<machine-learning><python><predictive-modeling>","2",""
"44975","2019-02-02 20:24:01","1","28","<nlp><cross-validation><multilabel-classification><randomized-algorithms>","0",""
"44980","2019-02-02 23:43:53","0","1521","<classification><predictive-modeling><logistic-regression><xgboost>","3",""
"44981","2019-02-03 03:12:52","2","193","<deep-learning><nlp><text-generation>","1","1"
"44986","2019-02-03 09:46:38","2","479","<time-series><lstm><prediction>","2","1"
"44987","2019-02-03 10:39:54","0","35","<time-series><rnn><linear-regression>","1",""
"44990","2019-02-03 11:42:30","1","20","<machine-learning><deep-learning><statistics>","1",""
"44992","2019-02-03 12:10:15","2","28","<similarity><cosine-distance><jaccard-coefficient>","1",""
"44995","2019-02-03 14:22:25","3","7154","<python><visualization><matplotlib>","1",""
"44996","2019-02-03 14:23:41","1","468","<matlab><image-preprocessing>","0",""
"44999","2019-02-03 16:29:55","1","95","<python><numpy><scipy><matrix>","1",""
"45001","2019-02-03 17:27:30","0","44","<r><data-imputation>","1",""
"45003","2019-02-03 19:47:09","-1","487","<dataset><image-classification>","1",""
"45004","2019-02-03 20:15:48","1","87","<machine-learning><classification><data-mining><xgboost><prediction>","2",""
"45008","2019-02-04 00:12:21","1","19","<visualization><svm><supervised-learning>","0",""
"45011","2019-02-04 01:02:42","0","118","<pandas>","1",""
"45015","2019-02-04 03:44:27","4","1374","<neural-network><deep-learning><tensorflow>","1","2"
"45018","2019-02-04 05:48:02","1","152","<random-forest><multiclass-classification><unbalanced-classes><sampling>","0",""
"45019","2019-02-04 05:55:38","2","154","<tensorflow><pytorch>","0","1"
"45023","2019-02-04 09:05:24","1","67","<nlp><natural-language-process>","0","1"
"55520","2019-07-11 17:32:26","0","35","<machine-learning><python><scikit-learn><machine-learning-model>","0",""
"55521","2019-07-11 17:32:34","4","1065","<deep-learning><nlp>","1","1"
"55523","2019-07-11 18:04:19","1","131","<machine-learning><discriminant-analysis>","1","1"
"55524","2019-07-11 18:11:17","0","44","<predictive-modeling><data><xgboost><data-science-model><churn>","0",""
"55525","2019-07-11 18:22:35","0","27","<lightgbm>","1",""
"55526","2019-07-11 18:23:23","1","25","<machine-learning><scikit-learn><clustering><feature-selection><machine-learning-model>","1","1"
"55527","2019-07-11 20:28:22","1","593","<neural-network><keras><batch-normalization><keras-rl>","2",""
"55529","2019-07-11 20:29:40","4","85","<machine-learning><deep-learning><convnet><image-recognition>","1","1"
"55532","2019-07-11 22:17:44","0","13","<python><classification><vector-space-models>","0",""
"55536","2019-07-12 03:20:03","0","393","<python><deep-learning><keras><tensorflow><object-detection>","1",""
"55537","2019-07-12 03:23:53","2","69","<regression>","3","1"
"55538","2019-07-12 05:20:30","0","2436","<python><time-series><pandas>","1",""
"55543","2019-07-12 06:19:51","0","179","<machine-learning>","3",""
"55544","2019-07-12 06:45:44","0","24","<python><aggregation>","1","1"
"55545","2019-07-12 06:52:03","5","2186","<neural-network><keras><tensorflow><cnn><convolution>","2",""
"55554","2019-07-12 08:36:22","2","60","<data-science-model><weka><smote>","2",""
"55555","2019-07-12 08:45:36","4","43","<machine-learning><classification><feature-selection>","1","1"
"55556","2019-07-12 08:48:02","1","743","<machine-learning><scikit-learn><logistic-regression>","1","0"
"55557","2019-07-12 08:58:03","0","26","<deep-learning><lstm><reinforcement-learning><sequence-to-sequence>","0",""
"55558","2019-07-12 09:05:31","0","50","<python><pandas>","3",""
"55563","2019-07-12 10:05:43","0","449","<deep-learning><keras><image-classification><object-detection>","1","1"
"55566","2019-07-12 10:23:18","4","1079","<time-series><labels><audio-recognition>","2",""
"55570","2019-07-12 11:59:14","0","28","<machine-learning><regression>","0",""
"55579","2019-07-12 16:05:05","0","29","<python><time-series>","0",""
"55580","2019-07-12 16:49:49","-1","131","<machine-learning><beginner>","1",""
"55581","2019-07-12 17:16:32","1","45","<r><clustering>","0",""
"55582","2019-07-12 17:27:10","0","81","<machine-learning><lstm>","0",""
"55587","2019-07-12 20:43:11","1","38","<regression><xgboost><cost-function>","2",""
