Tags,TagName
"<machine-learning><neural-network><deep-learning><optimization><hyperparameter>","deep-learning"
"<neural-network><deep-learning>","deep-learning"
"<machine-learning><data-mining><neural-network><nlp><deep-learning>","deep-learning"
"<machine-learning><classification><deep-learning>","deep-learning"
"<machine-learning><deep-learning>","deep-learning"
"<machine-learning><neural-network><visualization><deep-learning>","deep-learning"
"<machine-learning><classification><deep-learning><scikit-learn><logistic-regression>","deep-learning"
"<beginner><deep-learning>","deep-learning"
"<classification><unbalanced-classes><deep-learning><object-recognition>","deep-learning"
"<deep-learning>","deep-learning"
"<machine-learning><dataset><statistics><correlation><deep-learning>","deep-learning"
"<machine-learning><neural-network><deep-learning>","deep-learning"
"<machine-learning><neural-network><deep-learning>","deep-learning"
"<neural-network><deep-learning><convnet>","deep-learning"
"<machine-learning><python><deep-learning><library>","deep-learning"
"<machine-learning><data-mining><neural-network><deep-learning>","deep-learning"
"<machine-learning><deep-learning><research>","deep-learning"
"<machine-learning><python><deep-learning><image-classification>","deep-learning"
"<machine-learning><deep-learning><apache-spark>","deep-learning"
"<deep-learning><multitask-learning>","deep-learning"
"<deep-learning><multiclass-classification><caffe>","deep-learning"
"<neural-network><deep-learning><library>","deep-learning"
"<deep-learning>","deep-learning"
"<machine-learning><nlp><deep-learning><word-embeddings>","deep-learning"
"<machine-learning><deep-learning>","deep-learning"
"<neural-network><deep-learning><gradient-descent>","deep-learning"
"<neural-network><deep-learning><autoencoder>","deep-learning"
"<neural-network><deep-learning>","deep-learning"
"<machine-learning><neural-network><deep-learning>","deep-learning"
"<neural-network><deep-learning><image-classification>","deep-learning"
"<deep-learning><convnet><autoencoder>","deep-learning"
"<neural-network><deep-learning><theano><tensorflow><keras>","deep-learning"
"<machine-learning><recommender-system><deep-learning><scalability><data-product>","deep-learning"
"<machine-learning><deep-learning><theano>","deep-learning"
"<machine-learning><neural-network><deep-learning>","deep-learning"
"<machine-learning><neural-network><deep-learning>","deep-learning"
"<nlp><deep-learning><word-embeddings><unsupervised-learning>","deep-learning"
"<machine-learning><neural-network><deep-learning><image-classification>","deep-learning"
"<neural-network><deep-learning><image-classification>","deep-learning"
"<recommender-system><deep-learning>","deep-learning"
"<machine-learning><visualization><deep-learning><autoencoder>","deep-learning"
"<python><neural-network><deep-learning><keras><hyperparameter>","deep-learning"
"<deep-learning><information-retrieval><word-embeddings><word2vec>","deep-learning"
"<machine-learning><classification><deep-learning>","deep-learning"
"<neural-network><deep-learning><theano><rbm>","deep-learning"
"<neural-network><deep-learning><rbm>","deep-learning"
"<deep-learning><multilabel-classification><audio-recognition>","deep-learning"
"<neural-network><text-mining><deep-learning><beginner><tensorflow>","deep-learning"
"<deep-learning><convnet>","deep-learning"
"<python><nlp><deep-learning>","deep-learning"
"<python><deep-learning><image-classification>","deep-learning"
"<machine-learning><deep-learning>","deep-learning"
"<classification><neural-network><deep-learning><terminology><dropout>","deep-learning"
"<neural-network><deep-learning><image-classification><keras>","deep-learning"
"<bigdata><deep-learning>","deep-learning"
"<machine-learning><nlp><deep-learning><julia><rnn>","deep-learning"
"<deep-learning><rnn>","deep-learning"
"<deep-learning><rnn>","deep-learning"
"<deep-learning><rnn>","deep-learning"
"<machine-learning><deep-learning><reference-request>","deep-learning"
"<neural-network><deep-learning>","deep-learning"
"<neural-network><deep-learning><tensorflow><loss-function>","deep-learning"
"<neural-network><deep-learning>","deep-learning"
"<machine-learning><neural-network><deep-learning><randomized-algorithms>","deep-learning"
"<machine-learning><neural-network><deep-learning><tensorflow><convnet>","deep-learning"
"<machine-learning><python><deep-learning><tensorflow>","deep-learning"
"<deep-learning><convnet><object-recognition>","deep-learning"
"<machine-learning><deep-learning><keras>","deep-learning"
"<machine-learning><neural-network><deep-learning><optimization><backpropagation>","deep-learning"
"<machine-learning><deep-learning>","deep-learning"
"<machine-learning><neural-network><deep-learning><theano><image-recognition>","deep-learning"
"<deep-learning><performance><theano>","deep-learning"
"<neural-network><deep-learning>","deep-learning"
"<deep-learning><tensorflow>","deep-learning"
"<machine-learning><deep-learning><keras><image-classification><multilabel-classification>","deep-learning"
"<machine-learning><classification><neural-network><deep-learning><svm>","deep-learning"
"<deep-learning>","deep-learning"
"<neural-network><deep-learning><gpu>","deep-learning"
