TagName,
"python","1196833"
"machine-learning","773935"
"keras","544628"
"pandas","527831"
"deep-learning","453475"
"neural-network","380012"
"scikit-learn","280534"
"tensorflow","257580"
"classification","209486"
"dataframe","203979"
"nlp","152420"
"cnn","151930"
"lstm","143433"
"time-series","130870"
"numpy","116095"
"regression","94623"
"csv","88767"
"pytorch","88365"
"dataset","83026"
"seaborn","74060"
"data-mining","73723"
"xgboost","70711"
"r","70289"
"bert","69798"
"image-classification","67701"
"clustering","67594"
"computer-vision","64513"
"data-formats","62698"
"data-cleaning","61454"
"matplotlib","59241"
"feature-selection","55879"
"gpu","48004"
"opencv","47093"
"data-science-model","46581"
"machine-learning-model","46033"
"decision-trees","45696"
"loss-function","44719"
"logistic-regression","40536"
"cross-validation","40262"
"linear-regression","39550"
"multiclass-classification","39414"
"word-embeddings","39127"
"rnn","38960"
"visualization","38797"
"data","38418"
"preprocessing","37998"
"training","37651"
"encoding","36143"
"excel","36100"
"class-imbalance","35437"
"reinforcement-learning","34793"
"random-forest","34618"
"attention-mechanism","34607"
"k-means","34018"
"word2vec","33808"
"prediction","33356"
"transformer","33135"
"normalization","33107"
"statistics","32398"
"accuracy","31456"
"convolution","31133"
"overfitting","31120"
"autoencoder","30437"
"gradient-descent","29884"
"feature-engineering","29708"
"convnet","29505"
"predictive-modeling","28946"
"data-analysis","28837"
"activation-function","27829"
"gan","27071"
"categorical-data","26566"
"svm","26432"
"kaggle","25825"
"object-detection","25529"
"optimization","24694"
"bigdata","24687"
"similarity","24575"
"backpropagation","24353"
"correlation","24169"
"data.table","24134"
"missing-data","23809"
"recurrent-neural-net","23158"
"feature-extraction","23153"
"transfer-learning","23132"
"jupyter","23081"
"anaconda","22663"
"text-mining","22370"
"epochs","22010"
"unsupervised-learning","21610"
"outlier","21020"
"cost-function","20943"
"forecast","20862"
"multilabel-classification","20618"
"natural-language-process","20317"
"anomaly-detection","19864"
"sequence-to-sequence","19389"
"metric","18725"
"image-preprocessing","17758"
"recommender-system","16722"
